Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Dim.6,Dim.7,Dim.8,Dim.9,Dim.10,Dim.11
0.4654083327683076,-0.48168121626881405,-0.5005466741394037,0.21471524211682141,0.150664937624593,-0.19611339408892556,0.3410066437798563,-0.26951848793841726,0.055767062682174164,-0.03482151955056404,-0.017889795336844823
-0.5235271255823524,0.4318553242675996,-0.3912629628040363,-0.3614081499797702,0.16064555462951544,0.40081824710934943,0.14138309389813827,-0.07467887074056292,0.14434636015280006,0.14968571903474084,-0.02115916259148106
0.07166059116245795,-0.30089606923545015,0.13929939427283156,-0.8421294457358386,0.2447548066664932,-0.33546656744290976,0.016204107578558478,-0.015819877861589393,-0.03314925619131314,-0.02058116062307085,0.03552405266705419
-0.08752481191554413,0.08889339762429842,-0.9190610459921046,-0.08850060338012693,-0.09170803010887474,-0.11468415991121608,-0.30588833260572695,0.04719594012508703,-0.10838107944238946,-0.05302437121137135,0.003977142964445884
0.5638366904036243,0.7246297090789681,-0.008210755622546232,-0.05192780506819902,0.07981558158470917,0.19027241505619674,0.14617511885894383,-0.07470185027771878,-0.21495507420819968,-0.09148137685397935,0.17360841219654471
0.37571494732995775,0.43102004307065406,-0.01810276559421735,0.23802975327337544,0.7386162986594876,-0.15780155551278244,-0.08127066969523328,0.18169444303051874,0.05492535644963273,0.018061648563048514,-0.05155530409341371
-0.8109185871811344,-0.3121507065589319,-0.06376351925540866,0.03931781543849033,0.15315761735432382,0.10116952856913561,0.23067192268490003,0.21196517429520498,-0.31571301994020534,-0.02142243243421632,-0.086002165643425
-0.7815753336122313,-0.47535263270167966,-0.07584458387825307,0.2045332539437505,0.1835295593139376,-0.02771082926084516,-0.014642052805931774,0.10623129460254221,0.10094894405935816,0.023328102399784587,0.24271024508280337
-0.6712581384838809,0.46026452546280705,0.12125803806753246,0.1662707721576467,-0.005413152077453765,-0.40694659494439106,-0.04184183392518416,-0.28343415798288496,-0.1544778570218102,0.15339985842670725,0.010206735248911
-0.8706359808927042,0.12617151610031707,0.142509095086222,0.007028221600831259,0.22151141833754376,0.12229498159991455,-0.10635086174411426,-0.2658784488662195,0.07484813565020518,-0.22765941368892806,-0.04753126154044827
-0.44788694385293387,0.6625583297187847,-0.09737638925486626,-0.028540803277389195,-0.274100806473197,-0.3590420309214362,0.24464885815233986,0.22632504139863396,0.1620495303898961,-0.09337723020612042,-0.0043736658494088814
